Ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Business_description,Greeness
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,51434,1898,">ITEM 1. BUSINESSGENERALInternational Paper Company (the Company or International Paper, which may also be referred to as we or us) is a global producer of renewable fiber-based packaging, pulp and paper products with manufacturing operations in North America, Latin America, Europe, North Africa and Russia. We are a New York corporation, incorporated in 1941 as the successor to the New York corporation of the same name organized in 1898. You can learn more about us by visiting our website at www.internationalpaper.com.In the United States, at December 31, 2019, the Company operated ",0.0
IPG,The Interpublic Group of Companies,Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930),">Item 1.BusinessThe Interpublic Group of Companies, Inc. (""Interpublic,"" the ""Company,"" ""IPG,"" ""we,"" ""us"" or ""our"") was incorporated in Delaware in September 1930 under the name of McCann-Erickson Incorporated as the successor to the advertising agency businesses founded in 1902 by A.W. Erickson and in 1911 by Harrison K. McCann. The Company has operated under the Interpublic name since January 1961.About UsWe are one of the world’s premier global advertising and marketing services companies. With approximately 54,300",0.0
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),">ITEM 1.BUSINESS.We are a leading innovator of sensory experiences that move the world. Our creative capabilities, global footprint, regulatory and technological know-how provide us a competitive advantage in meeting the demands of our global, regional and local customers around the world. The 2018 acquisition of Frutarom solidified our position as an industry leader across an expanded portfolio of products, resulting in a broader customer base across small, mid-sized and large companies and an expansion to new adjacencies that provides a platform for significant cross-selling opportunities.Our product portfolio covers taste, scent and complementary adjacent products, and we have over 128,000 individual products that are provided to customers in approximately ",0.0
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,">ITEM 1 - BUSINESSCORPORATE BACKGROUNDGeneralIntuit helps consumers, small businesses, and the self-employed prosper by delivering financial management and compliance products and services. We also provide specialized tax products to accounting professionals, who are key partners that ",0.0
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,">ITEM 1.  BUSINESSIn this report, “Intuitive Surgical,” “Intuitive,” the “Company,” “we,” “us,” and “our” refer to Intuitive Surgical, Inc. and its wholly and majority-owned subsidiaries. Intuitive®, Intuitive Surgical®, da Vinci®",0.0
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,">Item 1.  BusinessIntroduction Invesco Ltd. (Invesco or the company) is an independent investment management firm dedicated to delivering an investment experience that helps people get more out of life. Our comprehensive range of active, passive and alternative investment capabilities has been constructed over many years to help clients achieve their investment objectives. We draw on this comprehensive range of capabilities to provide customized solutions designed to deliver key outcomes aligned to client needs.   With more than 8,000 employees and an on",0.0
INVH,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,">ITEM 1. BUSINESSOverviewInvitation Homes is a leading owner and operator of single-family homes for lease, offering residents high-quality homes in sought-after neighborhoods across America. With approximately 80,000 homes for lease in 16 markets across the country as of December 31, 2019, Invitation Homes is meeting changing lifestyle demands by providing residents access to updated homes with features they value, such as close proximity to jobs and access to good schools. Our mission statement, “Together with you, we make a house a home,&",0.0
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,">Item 1. Business 
Our Company 
IQVIA is a leading global provider of advanced analytics, technology solutions and contract research services to the life sciences industry. Formed through the Merger of IMS Health and Quintiles, IQVIA applies human data science – leveraging the analytic rigor and clarity of data science to the ever-expanding scope of human science – to enable companies to reimagine and develop new approaches to clinical development and commercialization, speed innovation, and accelerate improvements in healthcare outcomes. Powered by the IQVIA CORE, we deliver unique and actionable insights at the intersection of large scale analytics, transformative technology and extensive domain expertise as well as execution capabilities. With approximately 67,000 employees, we conduct operations in more than 100 countries.
We have",0.0
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569,1951,">Item 1. Business. Business OverviewWe help organizations around the world protect their information, reduce storage costs, comply with regulations, facilitate corporate disaster recovery, and better use their information and IT infrastructure for business advantages, regardless of its format, location or life cycle stage. We do this by storing physical records and data backup media, offering information management solutions, and providing data center space for enterprise-class colocation and hyperscale deployments. We offer comprehensive records and information management services and data management services, along with the expertise and experience to address complex storage and information management challenges such as rising storage rental costs, legal and regulatory compliance, and disaster recovery requirements. We provide secure and reliable data center facilities to protect digital information and ensure the cont",0.0
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535,1961,">ITEM 1.    BUSINESS
  OVERVIEW
   
     We are one of the largest surface transportation, delivery, and logistics companies in North America. J.B. Hunt Transport Services, Inc. is a publicly held holding company that, together with our wholly owned subsidiaries, provides safe and reliable transportation and delivery services to a diverse group of customers and consumers throughout the continental United States, Canada, and Mexico. Unless otherwise indicated by the context, “we,” “us,” “our,” the “Company”, and “JBHT” refer to J.B. Hunt Transport Services, Inc. and its consolidated subsidiaries. We were incorporated in Arkansas on August 10, 1961, and have been a publicly held company since our initial public offering in 1983. Our service offerings include transportation of full-truckload containerized freight, which we directly transport utilizing our company-controlled revenue equipment and company drivers or independent contractors. We have arrangements with most ",0.0
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,779152,1976,">ITEM 1.  BUSINESSJack Henry & Associates, Inc. (""JHA"") was founded in 1976 as a provider of core information processing solutions for banks. Today, the Company’s extensive array of products and services includes processing transactions, automating business processes, and managing information for nearly 8,700 financial institutions and diverse corporate entities.JHA provides its products and services through three primary business brands:•Jack Henry Banking is a lea",0.0
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,">Item 1.     BUSINESSAt Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good. Leveraging a talent force of more than 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector.Our deep global domain knowledge - applied together with the latest advances in technology - are why customers large and small choose to partner with Jacobs. We operate in two lines of business: Critical Mission Solutions and People & Places Solutions. After spending three years transforming our portfolio and setting the foundation to get us where we are today, we launched a three-year accelerated profitable growth strategy at o",0.0
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,">Item 1.BUSINESSGeneralJohnson & Johnson and its subsidiaries (the Company) have approximately 132,200 employees worldwide engaged in the research and development, manufacture and sale of a broad range of products in the health care field. Johnson & Johnson is a holding company, with operating companies conducting business in virtually all countries of the world. The Company’s primary focus is products related to human health and well-being. Johnson & Johnson was incorporated in the State of New Jersey in 1887.The Executive Committee of Johnson & Johnson is the principal management group responsible for the strategic operations and allocation of the resources of the Company. This Committee oversees and coordinates the activities o",0.0
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),">Item 1. Business.OverviewJPMorgan Chase & Co. (“JPMorgan Chase” or the “Firm”, NYSE: JPM), a financial holding company incorporated under Delaware law in 1968, is a leading global financial services firm and one of the largest banking institutions in the United States of America (“U.S.”), with operations worldwide; JPMorgan Chase had $2.7 trillion in assets and $261.3 billion in stockholders’ equity as of December 31, 2019",0.0
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996,">ITEM 1. BusinessOverviewJuniper Networks designs, develops and sells products and services for high-performance networks to enable customers to build scalable, reliable, secure and cost-effective networks for their businesses, while achieving agility and improved operating efficiency through automation. We sell our products in more than 150 countries in three geographic regions: Americas; Europe, Middle East, and Africa, which we refer to as EMEA; and Asia Pacific, which we refer to as APAC. We organize and manage our business by major functional departments on a consolidated basis as one operating segment. We sell our high-performance network products and service offerings across routing, switching, and security technologies. In addition to our products, we offer our customers services, including maintenance and support",0.0
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,55067,1906,">ITEM 1. BUSINESSThe Company. Kellogg Company, founded in 1906 and incorporated in Delaware in 1922, and its subsidiaries are engaged in the manufacture and marketing of ready-to-eat cereal and convenience foods.The address of the principal business office of Kellogg Company is One Kellogg Square, P.O. Box 3599, Battle Creek, Michigan 49016-3599. Unless otherwise specified or indicated by the context, “Kellogg,” “we,” “us” and “our” refer to Kellogg Company, its divisions and subsidiaries.Financial Information About Segments. Information on segments is located in Note 17 within Notes to the Consolidated Financial Statements.",0.0
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",2022-06-21,1418135,1981,">ITEM 1.   BUSINESSOUR COMPANYKeurig Dr Pepper Inc. is a leading beverage company in North America, with a diverse portfolio of flavored (non-cola) CSDs, NCBs, including water (enhanced and flavored), ready-to-drink tea and coffee, juice, juice drinks, mixers and specialty coffee, and is a leading producer of innovative single serve brewing systems. With a wide range of hot and cold beverages that meet virtually any consumer need, KDP key brands include Keurig, Dr Pepper, Canada Dry, Snapple, Bai, Mott's, Core, Green Mountain and The Original Donut Shop. KDP has some of the most recognized beverage brands in North America, with significant consumer awareness levels and long histories that evoke strong emotional connections with consumers. KDP offers more than 125 owned, licensed, partner and allied brands, including the top ten b",0.0
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,">ITEM 1. BUSINESSOverviewKeyCorp, organized in 1958 under the laws of the State of Ohio, is headquartered in Cleveland, Ohio. We are a BHC under the BHCA and one of the nation’s largest bank-based financial services companies, with consolidated total assets of approximately $145.0 billion at December 31, 2019. KeyCorp is the parent holding company for KeyBank National Association, its principal subsidiary, through which most of our banking services are provided. Through KeyBank and certain other subsidiaries, we provide a wide range of retail and commercial banking, commercial leasing, investment management, consumer finance, student loan refinancing, commercial mortgage servicing and special servicing, and investment banking products and services to individual, corporate, and institutional clients",0.0
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),">Item 1.  BusinessOverviewKeysight Technologies, Inc. (""we,"" ""us,"" ""Keysight"" or the ""company""), incorporated in Delaware on December 6, 2013, is a technology company that helps enterprises, service providers and governments accelerate innovation to connect and secure the world by providing electronic design and test solutions that are used in the simulation, design, validation, manufacture, installation, optimization and secure operation of electronics systems in the communications, networking and electronics industries. We also offer customization, consulting and optimization services throughout the customer's product lifecycle, including start-up assistance, asset management, up-time services, application services and instrument calibration and repair.We generated $4.2 billion, $4.3 billion and $3.9 billion of revenue in fiscal ",0.0
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,">ITEM 1.    BUSINESSKimberly-Clark Corporation was incorporated in Delaware in 1928. We are a global company focused on leading the world in essentials for a better life through product innovation and building our personal care, consumer tissue and K-C Professional brands.  We are principally engaged in the manufacturing and marketing of a wide range of products mostly made from natural or synthetic fibers using advanced technologies in fibers, nonwovens and absorbency.  Unless the context indicates otherwise, the terms ""Corporation,"" ""Kimberly-Clark,"" ""K-C,"" ""we,"" ""our"" and ""us"" refer to Kimberly-Clark Corporation and its consolidated subsidiaries.Dollar amounts are reported in millions, except per share dollar amounts, unless otherwise noted. Description of Kimberly-ClarkWe are organized into operating segments based on product groupings.  These operating segme",0.0
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101,1958,">Item 1. Business
   
  Overview
   
  Kimco Realty Corporation, a Maryland corporation, is one of North America’s largest publicly traded owners and operators of open-air shopping centers.  The terms “Kimco,” the “Company,” “we,” “our” and “us” each refer to Kimco Realty Corporation and our subsidiaries, unless the context indicates otherwise. In statements regarding qualification as a real estate investment trust (""REIT""), such terms refer solely to Kimco Realty Corporation. The Company’s mission is to create destinations for everyday living that inspire a sense of community and deliver value to our many stakeholders.
   
  ",0.0
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),">Item 1.  Business. GeneralFor 150 years, we have produced some of the world’s most beloved products at The Kraft Heinz Company (Nasdaq: KHC). Our Vision is To Be the Best Food Company, Growing a Better World. We are one of the largest global food and beverage companies, with 2019 net sales of approximately $25 billion. Our portfolio is a diverse mix of iconic and emerging brands. As the guardians of these brands and the creators of innovative new products, we are dedicated to the sustainable health of our people and our planet.On July 2, 2015, through a series of transactions, we consummated the merger of Kraft Foods Group, Inc. (“Kraft”) with and into a wholly",0.0
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,">ITEM 1.BUSINESS.​The Kroger Co. (the “Company” or “Kroger”) was founded in 1883 and incorporated in 1902.  As of February 1, 2020, we are one of the largest retailers in the world based on annual sales.  We also manufacture and process some of the food for sale in our supermarkets.  We maintain a web site (www.thekrogerco.com) that includes additional information about the Company.  We make available through our web site, free of charge, our annual reports on Form 10-K, our quarterly reports on Form 10-Q, our current reports on Form 8-K and our interactive data files, including amendments.  These forms are available as soon as reasonably practicable after we have filed them with, or furnished them electronically to, the SEC.​Our revenu",0.0
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978,>Item 1.  Financial InformationLABORATORY CORPORATION OF AMERICA HOLDINGS AND SUBSIDIARIESCONSOLIDATED BALANCE SHEETS(In Millions) s,0.0
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,707549,1980,">Item 1. BusinessIncorporated in 1980, Lam Research Corporation (“Lam Research,” “Lam,” “we,” “our,” “us,” or the “Company”) is a Delaware corporation, headquartered in Fremont, California. We maintain a network of facilities throughout Asia, Europe, and the United States in order to meet the needs of our dynamic customer base.Additional information about Lam Research is available on our website at www.lamresearch.com. The content on any website referred to in this Form 10-K is not a part of or incorporated by reference in this Form 10-K unless expressly noted.Our Annual Report on Form 10-K, Quarterly Reports on Forms 10-Q, Current Reports on Forms 8-K, Proxy Statements and all other filings we make with the SEC are avai",0.0
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273,2016 (1950),">ITEM 1. BUSINESS​Lamb Weston Holdings, Inc. (“we,” “us,” “our,” “the Company,” or “Lamb Weston”), along with its joint venture partners, is a leading global producer, distributor, and marketer of value-added frozen potato products and is headquartered in Eagle, Idaho. We, along with our joint venture partners, are the number one supplier of value-added frozen potato products in North America. We, along with our joint venture partners, are also a leading supplier of value-added frozen potato products internationally, with a strong and growing presence in high-growth emerging markets. We, along with our joint venture partners, offer a broad product portfolio to a diverse channel and customer base in over 100 countries. French fries represent the majority of our value-added frozen potato product portfolio.​We were organized as a Delaware corporati",0.0
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514,1988,">ITEM 1. — BUSINESSOur CompanyLas Vegas Sands Corp. (""LVSC,"" or together with its subsidiaries ""we"" or the ""Company"") is a Fortune 500 company and the leading global developer of destination properties (""Integrated Resorts"") that feature premium accommodations, world-class gaming, entertainment and retail malls, convention and exhibition facilities, celebrity chef restaurants and other amenities.We currently own and operate Integrated Resorts in Asia and the United States. We believe our geographic diversity, best-in-class properties and convention-based business model provide us with the best platform in the hospitality and gaming industry to continue generating substantial growth and cash flow while simultaneously pursuing new development opportunities. Our unique convention-based marketing strategy allows us to attract business travelers during the s",0.0
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969,">Item 1. BusinessOur Company Leidos Holdings, Inc. (""Leidos""), a Delaware corporation, is a holding company whose direct 100%-owned subsidiary and principal operating company is Leidos, Inc. Leidos was founded in 1969 by physicist Dr. Robert Beyster. Since our founding 51 years ago, we have applied our expertise in science, research and engineering in rapidly evolving technologies and markets to solve complex problems of global concern.We use the terms ""Company,"" ""we,"" ""us"" and ""our"" to refer collectively to Leidos Holdings, Inc. and its consolidated subsidiaries. Leidos is a FORTUNE 500® science, engineering and information technology company that provides serv",0.0
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954,">Item 1.Business Overview of Lennar CorporationWe are the largest homebuilder in the United States in terms of consolidated revenues and earnings, an originator of residential and commercial mortgage loans, a provider of title insurance and closing services and a developer of multifamily rental properties. In addition, we are involved in ventures, and have interests in companies, that are engaged in applying technology to improve the homebuilding industry and real estate related aspects of the financial services industry.Our homebuilding operations are the most substantial part of our business, generating $20.8 billion in revenues, or approximately 93%",0.0
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,59558,1905,"ITEM 1 – Election of Directors” and “GENERAL INFORMATION – Shareholder Proposals” of LNC’s Proxy Statement for the Annual Meeting scheduled for June 11, 2020.  We have adopted a code of ethics, which we refer to as our “Code of Conduct,” that applies, among others, to our principal executive officer, principal financial officer, principal accounting officer or controller and other persons performing similar functions.  The Code of Conduct is posted on our website, www.lfg.com.  LNC will provide to any person without charge, upon request, a copy of such code.  Requests for the Code of Conduct should be directed to:  Corporate Secretary, Lincoln National Corporation, 150 N. Radnor Chester Road, Suite A305, Radnor, PA 19087.  We intend to disclose any amendment to or waiver from the provisions of our Code of Cond",0.0
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925,1879,">ITEM 1.     BUSINESS GeneralLinde plc is a public limited company formed under the laws of Ireland with its principal offices in the United Kingdom.  Linde plc was formed in 2017 in accordance with the requirements of the business combination agreement, dated June 1, 2017, as amended, between Linde plc, Praxair, Inc. (""Praxair"") and Linde Aktiengesellschaft (""Linde AG"").  Effective October 31, 2018, the business combination was completed and Linde plc is comprised of the businesses of Praxair and Linde AG (hereinafter the combined group will be referred to as ""the company"" or ""Linde"").The business combination brought together two leading companies in the global industrial gases industry, leveraging the proven strengths of each.  Linde believes the merger will combine Linde AG’s long-held expertise in technology with Praxair’s efficient operating model, thus creating a global leader. The company is expected to have strong positions in key geographies and end markets that will create a more diverse and b",0.0
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,">ITEM 1. BUSINESSOur CompanyWe believe that we are the largest live entertainment company in the world, connecting over 580 million fans across all of our concerts and ticketing platforms in 46 countries during 2019. We believe we are the largest producer of live music concerts in the world, based on total fans that attend Live Nation events as compared to events of other promoters, connecting nearly 98 ",0.0
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696,1998,">ITEM 1.      BUSINESSOVERVIEWLKQ Corporation (""LKQ"" or the ""Company"") is a global distributor of vehicle products, including replacement parts, components, and systems used in the repair and maintenance of vehicles, and specialty products and accessories to improve the performance, functionality and appearance of vehicles.Buyers of vehicle replacement products have the option to purchase from primarily five sources: new products produced by original equipment manufacturers (""OEMs""); new products produced by companies other than the OEMs, which are referred to as aftermarket products; recycled products obtained from salvage and total loss vehicles; recycled products that have been refurbished; and recycled products that have been remanufactured. We distribute a variety of products to collision and mechanical repair shops, including aftermarket collision and",0.0
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,">Item 1 - Business General InformationLowe’s Companies, Inc. and subsidiaries (the Company or Lowe’s) is a Fortune® 50 company and the world’s second largest home improvement retailer.  As of January 31, 2020, Lowe’s operated 1,977 home improvement and hardware stores, representing approximately 208 million square feet of retail selling space.  These operations included ",0.0
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,18926,1983 (1877),">ITEM 1. BUSINESSOverviewWe are an international facilities-based communications company engaged primarily in providing a broad array of integrated services to our business and residential customers. Our specific products and services are detailed below under the heading ""Operations - Products and Services.""With approximately 450,000 route miles of fiber optic cable globally, we believe we are among the largest providers of communications services to domestic and global enterprise customers. Our terrestrial and subsea fiber optic long-haul network throughout North America, Europe, Latin America and Asia Pacific connects to metrop",0.0
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856,">Item 1.

Business.
M&T Bank Corporation (“Registrant” or “M&T”) is a New York business corporation which is registered as a financial holding company under the Bank Holding Company Act of 1956, as amended (“BHCA”) and as a bank holding company (“BHC”) under Article III-A of the New York Banking Law (“Banking Law”). The principal executive offices of M&T are located at One M&T Plaza, Buffalo, New York 14203. M&T was incorporated in November 1969. M&T and its direct and indirect subsidiaries are collectively referred to herein as the “Company.” As of December 31, 2019 the Company had consolidated total assets of $119.9 billion, deposits of $94.8 billion and shareholders’ equity of $15.7 billion. The Company had 16,998 full-time and 775 part-time employees as of December 31, 2019.
",0.0
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778,1887,">Item 1. Business – Environmental, Health and Safety Matters, Item 1A. Risk Factors and Item 3. Legal Proceedings.Critical Accounting EstimatesThe preparation of financial statements in accordance with accounting principles generally accepted in the U.S. requires us to make estimates and assumptions that affect the reported amounts of assets and liabilities and the disclosure of contingent assets and liabilities as of the date of the consolidated financial statements and the reported amounts of revenues an",0.0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009 (1887),">ITEM 1. BUSINESSOVERVIEWMarathon Petroleum Corporation (“MPC”) has over 130 years of experience in the energy business, and is the largest independent petroleum product refining, marketing, retail and midstream business in the United States. We operate the nation's largest refining system with more than 3 million barrels per day of crude oil refining capacity and believe we are one of the largest wholesale suppliers of gasoline and distillates to resellers in the United States. We believe we operate the second largest chain of company-owned and operated retail gasoline and convenience stores in the United States. We distribute our refined products through one of the largest terminal operations in the United States and one of the largest private domestic fleets of inland petroleum product barges. In addition, our integrated midstream energy asset network links producers of natural gas and NGLs from some of the largest supply basins in the United States to domestic and international markets. ",-0.5491153001785278
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021,2000,">Item 1. Business. 
 
Overview
MarketAxess Holdings Inc. (the “Company” or “MarketAxess”) operates leading electronic trading platforms delivering expanded liquidity opportunities, improved execution quality and significant cost savings across global fixed-income markets. Over 1,700 institutional investor and broker-dealer firms are active users of our patented trading technology, accessing global liquidity on our platforms in U.S. investment-grade bonds, U.S. high-yield bonds, U.S. Treasuries, emerging market debt, Eurobonds and other fixed income securities. Through our Open Trading™ protocols, we execute bond trades between and among institutional investor and broker-dealer clients in our leading all-to-all anonymous trading environment for corporate bonds. We also offer a number of trading-related products and services, including: Composite+™ pricing and other market data products to assist clients with tradin",0.0
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709,1905,">Item 1.    Business.References in this report to ""we"", ""us"" and ""our"" are to Marsh & McLennan Companies, Inc. and its consolidated subsidiaries (the ""Company""), unless the context otherwise requires.GENERALThe Company is a global professional services firm offering clients advice and solutions in risk, strategy and people. Its businesses include: Marsh, the insurance broker, intermediary and risk advisor; Guy Carpenter, the risk and reinsurance specialist; Mercer, the provider of HR and investment related advice and services; and Oliver Wyman Group, the management, economic and brand consultancy. With 76,000 colleagues worldwide and annual revenue of $17 billion, the Company provides analysis, advice and transactional capabilities to clients in more than 130 countries.",0.0
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993,">ITEM 1 – BUSINESS
General
Martin Marietta Materials, Inc. (the “Company” or “Martin Marietta”) is a natural resource-based building materials company.  The Company supplies aggregates (crushed stone, sand and gravel) through its network of more than 300 quarries, mines and distribution yards in 27 states, Canada, the Bahamas and the Caribbean Islands.  In the western United States, Martin Marietta also provides cement and downstream products, namely, ready mixed concrete, asphalt and paving services in markets where the Company has a leading aggregates position.  Specifically, the Company has two cement plants in Texas, and ready mixed concrete and asphalt operations in Texas, Colorado, Louisiana, Arkansas, and Wyoming.  Paving services are exclusively in Colorado.  The Company’s heavy-side building materials are used in infrastructure, nonresidential and residential construction projects.  Aggregates are also used in agricultural, utility and environmental applications and as railroad ballast.",0.0
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996,1929,">Item 1.Business. Masco Corporation is a global leader in the design, manufacture and distribution of branded home improvement and building products. Our portfolio of industry-leading brands associated with our continuing operations includes BEHR® paint; DELTA® and HANSGROHE® faucets and bath and shower fixtures; KICHLER® decorative and outdoor lighting; and HOT SPRING® spas. We leverage our powerful brands across product categories, sales channels and geographies to create value for our customers and shareholders.We believe that our solid results of operations and financial position for 2019 resulted from our focus on our three strategic pillars: ",0.0
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966,">ITEM 1. BUSINESSthe interpretation and application of these privacy and data protection laws are often uncertain and in a state of flux, thus requiring constant monitoring for compliance.Additional Regulatory Developments.  Various regulatory agencies also continue to examine a wide variety of issues that could impact us, including evolving laws surrounding marijuana, prepaid payroll cards, virtual currencies, identity theft, account management guidelines, disclosure rules, security and marketing that would impact our customers directly.EmployeesAs of December 31, 2019",0.0
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103,1986,">Item 1.    BusinessOVERVIEWWho We AreIAC operates Vimeo, Dotdash and Care.com, among many other businesses, and also has majority ownership of both Match Group, which includes Tinder, Match, PlentyOfFish and OkCupid, and ANGI Homeservices, which includes HomeAdvisor, Angie’s List and Handy.As used herein, “IAC,” the “Company,” “we,” “our,” “us” and similar terms refer to IAC/InterActiveCorp and its subsidiaries (unless the context requires otherwise).Our History",0.0
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754,1889,">ITEM 1. BUSINESSMcCormick is a global leader in flavor. The company manufactures, markets and distributes spices, seasoning mixes, condiments and other flavorful products to the entire food industry–retailers, food manufacturers and foodservice businesses. We also are partners in a number of joint ventures that are involved in the manufacture and sale of flavorful products, the most significant of which is McCormick de Mexico. Our major sales, distribution and production facilities are located in North America, Europe and China. Additional facilities are based in Australia, India, Central America, Thailand and South Africa. McCormick & Company, Incorporated was formed in 1915 under Maryland law as the successor to a business established in 1889.In August 2017, we completed the acquisition of Reckitt Benckiser's Food Division (""RB Foods"") from Reckitt Benckiser Group plc. The purchase price was approximately $4.21 billion, net of acquired cash of $24.3 million. The acquired market-leading brands of RB Foods include French’s",0.0
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949,">Item 1. BusinessMedtronic plc, headquartered in Dublin, Ireland, is among the world's largest medical technology, services, and solutions companies - alleviating pain, restoring health, and extending life for millions of people around the world. Medtronic was founded in 1949 and today serves hospitals, physicians, clinicians, and patients in more than 150 countries worldwide. We remain committed to a mission written by our founder in 1960 that directs us “to contribute to human welfare by the application of biomedical engineering in the research, design, manufacture, and sale of products to alleviate pain, restore health, and extend life.”With innovation and market leadership, we have pioneered advances in medical technology. Our commitment to enhance our offerings by developing and acquiring new products, wrap-around programs, and solutions to meet the need",0.0
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,">Item 1.Business.Merck & Co., Inc. (Merck or the Company) is a global health care company that delivers innovative health solutions through its prescription medicines, vaccines, biologic therapies and animal health products. The Company’s operations are principally managed on a products basis and include four operating segments, which are the Pharmaceutical, Animal Health, Healthcare Services and Alliances segments. The Pharmaceutical segment includes human health pharmaceutical and vaccine products. Human health pharmaceutical products consist of therapeutic and preventive agents, generally sold by prescription, for the treatment of human disorders. The Company sells these human health pharmaceutical products primarily to drug wholesalers and retailers, hospitals, government agencies and managed health care providers such as health maintenance organizations, pharmacy benefit managers and other institutions. Human health vaccine products consist of ",0.0
